Carrer dels Llebrencs
Carrer d'Almenara Alta
Carrer dels Ametllers
Passatge dels Ametllers
Carrer d'Almeria
Carrer d'Emília Llorca Martín
Carrer de l'Almirall Barceló
Carrer de Pepe Rubianes
Carrer de l'Almirall Okendo
Carrer de l'Almirall Pròixida
Carrer de l'Almirall Churruca
Carrer dels Almogàvers
Carrer d'Alonso Cano
Passatge d'Aloi
Carrer d'Alpens
Carrer d'Alsàcia
Carrer de n'Alsina
Passatge Alt del Turó
Carrer Alt
Plaça Alta de Can Clos
Carrer Alt de Gironella
Carrer Alt de Mariner
Passatge Alt de Mariner
Carrer Alt de Pedrell
Carretera Alta de les Roquetes
Carrer de Sant Pere Més Alt
Carrer d'Altafulla
Carrer dels Alts Forns
Carrer de l'Alumini
Carrer d'Alvarado
Passeig de l'Agrícola
Carrer d'Allada-Vermell
Carrer d'Alloza
Carrer d'Amadeu Vives
Carrer de la Rosella
Carrer de n'Amargós
Carrer de l'Amargor
Carrer d'Amer
Carrer d'Amèrica
Plaça d'Amich
Carrer d'Amigó
Carrer dels Amics
Carrer d'Amílcar
Carrer de l'Amistat
Carrer de l'Amor
Carrer de Joan Obiols
Carrer d'Amposta
Carrer de l'Empordà
Carrer d'Empúries
Carrer d'Anna Piferrer
Passeig d'Anna Rúbies
Passatge d'Andalet
Carrer d'Andalusia
Carrer de l'Andana de l'Estació
Carrer d'Andorra
Carrer d'Andrade
Carrer d'Andratx
Carrer d'Andrea Doria
Carrer d'Andreu Febrer
Passatge d'Andreví
Carrer d'Andròmeda
Carrer d'Aneto
Carrer de l'Àngel
Pas de l'Àngel
Plaça de l'Àngel
Carrer d'Àngel J. Baixeras
Carrer d'Àngel Guimerà
Carrer d'Àngel Marquès
Plaça d'Àngel Pestaña
Carrer dels Àngels
Camí dels Àngels
Plaça dels Àngels
Carrer d'Anglesola
Passatge d'Anglesola
Carrer d'Anglí
Carrer d'Anníbal
Carrer de l'Anisadeta
Carrer d'Anselm Turmeda
Carrer d'Antequera
Carrer Antic de Bofarull
Carretera Antiga d'Horta
Carrer Antic de Sant Joan
Carrer Antic del Guinardó
Passatge Antic de València
Camí Antic de València
Carrer de les Antilles
Carrer d'Antoni de Capmany
Carrer d'Antoni Costa
Passatge d'Antoni Gassol
Plaça d'Antonio López
Plaça d'Antoni Maura
Carrer d'Antonio Machado
Carrer de Francesc Bolòs
Carrer d'Antonio Ricardos
Carrer d'Aragó
Passatge d'Aragó
Carrer de n'Arai
Carrer d'Arbeca
Carrer d'Arbós
Carrer d'Arbúcies
Passatge d'Arcadia
Carrer de la Volta d'en Bufanalla
Carrer de la Volta d'en Colomines
Carrer de la Volta d'en Dusai
Carrer de l'Arc de Sant Martí
Passatge de l'Arc de Sant Martí
Carrer de la Volta dels Jueus
Carrer de l'Arc del Mercat
Carrer de la Volta de la Perdiu
Carrer de la Volta del Remei
Carrer de l'Arc de Sant Agustí
Carrer de l'Arc de Sant Cristòfol
Carrer de l'Arc de Sant Onofre
Carrer de l'Arc de Sant Pau
Carrer de l'Arc de Sant Ramon del Call
Carrer de l'Arc de Sant Sever
Carrer de l'Arc de Sant Silvestre
Carrer de l'Arc de Sant Vicenç
Carrer de l'Arc de Santa Eulàlia
Carrer de la Volta dels Tamborets
Carrer de l'Arc del Teatre
Carrer dels Arcs
Carrer d'Ardena
Carrer d'Ardèvol
Carrer de l'Esquirol Volador
Carrer de les Arenes dels Canvis
Carrer de les Arenes de Sant Pere
Carrer d'Arenys
Passatge d'Arenys
Carrer dels Argensola
Carrer del Castell d'Argençola
Carrer de l'Argenter
Carrer de l'Argentera
Passeig de l'Argentinita
Carrer d'Argentona
Carrer d'Argimon
Carrer d'Argullós
Passatge d'Argullós
Carrer d'Aribau
Carrer d'Arimon
Carrer d'Ariosto
Carrer dels Arítjols
Carrer d'Arizala
Carrer d'Arlet
Plaça de l'Armada
Carrer d'Armengol
Carrer de l'Harmonia
Carrer d'Arnau d'Oms
Carrer d'Arnau
Carrer d'Arnau Bargués
Carrer d'Arnes
Carrer d'Arnús i de Garí
Carrer de la Vall d'Aro
Carrer de n'Aroles
Carrer d'Arquímedes
Carrer d'August Font
Carrer de l'Arquitecte Martorell
Carrer de l'Arquitecte Mas
Passatge de l'Arquitecte Millàs
Carrer de l'Arquitectura
Carrer de l'Escull
Carrer de les Penedides
Passatge d'Arriassa
Plaça dels Traginers
Carrer d'Artà
Carrer de l'Art
Passatge d'Artemis
Carrer d'Artés
Carrer d'Artesa de Segre
Carrer de l'Artesania
Plaça d'Artós
Carrer d'Ascó
Carrer dels Ases
Carrer dels Assaonadors
Plaça de l'Assemblea de Catalunya
Carrer de la Drassana
Carrer d'Astúries
Passatge de la Talaia
Drecera de Vallvidrera
Carrer d'Ataülf
Carrer d'Atenes
Carrer de l'Atlàntida
Passatge de l'Àtom
Carrer dels Ocells
Carrer d'Auger
Via Augusta
Carrer d'Aulèstia i Pijoan
Carrer de l'Aurora
Carrer d'Ausiàs Marc
Carrer d'Ausona
Carrer de l'Ave Maria
Carrer dels Avellà
Carrer de l'Aviació
Carrer de l'Aviador Durán
Carrer del Mecànic Pablo Rada
Carrer de l'Aviador Ruiz de Alda
Carrer de Jiménez i Iglesias
Carrer d'Àvila
Carrer d'Avinyonet
Carrer d'Avinyó
Carrer de l'Avió Plus Ultra
Passatge d'Aymà
Carrer de l'Ajuntament
Carrer de les Açores
Plaça d'Otero Pedrayo
Carrer B Zona Franca
Carrer de Bacardí
Passatge de Bacardí
Plaça de Bacardí
Carrer de Bac de Roda
Carrer de Badajoz
Rambla de Badal
Passatge de Badal
Carrer de Badalona
Carrer de Badia
Carrer de Badosa
Carrer de Begur
Carrer de Bailèn
Passatge Baix del Turó
Carrer Baix de Mariner
Carrer de Sant Pere Més Baix
Carrer de Balboa
Carrer de Balcells
Carrer de Baldiri Reixac
Carrer de Baldomer Girona
Carrer de les Balears
Carrer de Balenyà
Carrer de Baliarda
Passatge de Baliarda
Carrer de Balira
Carrer de Balmes
Carrer del Voló
Carrer de Balsareny
Carrer de les Basses de Sant Pere
Carrer de Baltasar Gracián
Carrer de Baltasar Samper
Carrer del Baluard
Carrer de Ballot
Carrer de Ballester
Passatge de la Banca
Carrer de Banyoles
Carrer dels Banys Nous
Carrer dels Banys Vells
Carrer la Rambla
Via de Bàrcino
Carrer de Barnola
Carrer del Baró de la Barre
Carrer del Baró d'Esponellà
Passatge del Baró de Griñó
Carrer del Baró de Sant Lluís
Grup Baron de Viver
Carrer de la Barra de Ferro
Carrer del Barri Vermell
Barriada Pekin
Carrer de Bartrina
Carrer de Basea
Carrer de Bassegoda
Carrer de Bassols
Carrer de Batet
Carrer de Batista
Passatge de Batlló
Carrer de Batllori
Carrer de la Colònia Bausili
Carrer de les Beates
Plaça de les Beates
Carrer del Beat Almató
Carrer del Pare Miquel de Sarrià
Carrer del Beat Simó
Carrer de Beatriu
Avinguda de J. V. Foix
Carrer de Beethoven
Carrer de la Begònia
Carrer de Béjar
Carrer de Betlem
Carrer de Bellafila
Plaça de Bellavista
Passatge de Bellavista
Camí de Bellavista
Carrer de Bellcaire
Carrer de Bellesguard
Carrer de Bellmunt
Carrer de Bellprat
Carrer de Bellver
Carrer de Benavent
Carrer de Benedetti
Plaça de Benet XV
Carrer de Benet Mateu
Carrer de Benevent
Carrer de Benet Mercadé
Carrer de Benlliure
Plaça de Ramon Berenguer el Gran
Carrer de Berenguer Mallol
Carrer de Berenguer de Palou
Carrer de Ramon Berenguer el Vell
Carrer de Beret
Carrer de Berga
Carrer de Berguedà
Carrer de Bergnes de las Casas
Carrer de Berlín
Carrer del Berlinès
Carrer de Bermejo
Carrer de Berna
Passatge de Bernardí Martorell
Carrer de Bernat Bransi
Carrer de Bernat Martorell
Carrer de Bernat Desclot
Passatge de Bernat Fenollar
Carrer de Bernat Metge
Carrer de Berruguete
Carrer de Bertran
Carrer de Bertrand i Serra
Carrer de Besalú
Carrer del Besòs
Carrer de Betània
Carrer de Béthencourt
Carrer de Besiers
Carrer de Bigai
Passatge de Bigai
Carrer de Bilbao
Carrer de Biosca
Carrer de la Bisbal
Carrer de Bismarck
Passatge de Bismarck
Passatge de la Blada
Riera Blanca Sarrià
Carrer d'en Blanco
Baixada de Blanes
Carrer de la Blanqueria
Carrer de Blasco de Garay
Plaça del Sortidor
Carrer de Blai
Carrer de Blesa
Carrer de Boada
Carrer de la Bòbila
Passatge de Bocabella
Carrer dels Bofarull
Passatge de Bofarull
Passatge de Bofill
Avinguda del Bogatell
Carrer dels Bohemis
Carrer de Bolívar
Carrer de Bolívia
Carrer d'en Boltres
Carrer del Bonaire
Passeig de la Bonanova
Plaça de la Bonanova
Carrer de Bonaplata
Passatge de Boné
Carrer de Bonsoms
Carrer de Bonveí
Carrer d'en Boquer
Carrer de la Boqueria
Pla de la Boqueria
Avinguda dels Quinze
Carretera de la Bordeta
Carrer de Bordils
Carrer de Borgonya
Passatge de Bori
Carrer de Bori i Fontestà
Carrer de la Bòria
Carrer de les Borges Blanques
Passeig del Born
Carrer de Borràs
Plaça de Borràs
Passatge de Borrell
Carrer de Bosch
Carrer de Bosch i Alsina
Passatge de Bosch i Labrús
Carrer del Bosc
Plaça de Boston
Carrer d'en Bot
Carrer d'en Botella
Carrer dels Boters
Carrer del Bou de Sant Pere
Carrer de Bragança
Rambla del Brasil
Carrer de Breda
Carrer de Bretón de los Herreros
Carrer del Violer
Carrer de Briquets
Baixada de Briz
Carrer dels Brocaters
Carrer del Bronze
Carrer de Brossa
Carrer del Brosolí
Carrer del Bruc
Plaça de Brugada
Carrer de Bruguera
Carrer del Brull
Carrer de Bruniquer
Carrer de Brussel·les
Carrer de Brusi
Carrer de Gabriel Ferrater
Carrer del Bon Pastor
Carrer de Buenaventura Muñoz
Carrer de Ventura Plaja
Carrer de Bonaventura Pollés
Carrer de Bonavista
Passatge de Bonavista
Carrer de Buenos Aires
Carrer del Bonsuccés
Plaça del Bonsuccés
Carrer de Buïgas
Carrer de Bunyola
Carrer de Bordeus
Carrer de Burgos
Carrer de Borriana
Passatge de Burrull
Carrer de Buscarons
Carrer de Buxó
Carrer C Zona Franca
Plaça de Caba
Carrer de Caballero
Carrer dels Cavallers
Carrer de Cabanes
Carrer del Cabanyal
Carrer de Cabestany
Carrer de les Cabres
Carrer de Cabrera
Carrer de Càceres
Carrer de Cadaqués
Camí de la Cadena
Carrer del Cadí
Carrer de Cadis
Carrer de Queixans
Carrer del Caire
Passatge de la Caixa d'Estalvis
Carrer de Calàbria
Carrer de Calaf
Passatge de Calafell
Carrer de les Calàndries
Carrer de Calatrava
Carrer de Calderón de la Barca
Carrer de Calders
Carrer de Calella
Carrer de Calendau
Passeig de Calvell
Carrer de Calvet
Plaça de Calvó
Plaça de Francesc Macià
Carrer del Call
Carrer del Callao
Carrer de Càller
Carrer de Camarasa
Carrer dels Canvis Nous
Carrer dels Canvis Vells
Carrer de Cambrils
Carrer de les Camèlies
Passatge de les Camèlies
Carrer de Camil Fabra
Carrer de Camil Oliveras
Passatge del Caminal
Carrer de Camós
Carrer del Camp
Plaça del Camp
Carrer de Campeny
Carrer de Campins
Passatge del Camp
Carrer del Camp Arriassa
Carrer de Campo Florido
Carrer del Camp d'en Vidal
Carrer de Campoamor
Passatge dels Camps Elisis
Carrer de Campreciós
Carrer de Camprodon
Carrer de Camps i Fabrés
Carrer Can Balasch
Camí de Can Balasch
Carrer de Can Basseda
Carrer de Can Bruixa
Camí de Can Castellví
Carrer de Can Caralleu
Carrer de Can Clos
Camí de Can Clos
Camí de Can Pasqual
Camí del Mas Sauró
Carrer de Canaan
Passatge de Canadell
Carrer de Canalejas
Carrer de les Canàries
Carrer de la Cançó
Carrer de les Candeles
Carrer de Canet
Passatge de Canet
Carrer de Canfranc
Carrer del Canigó
Carrer del Canonge Almera
Plaça del Canonge Colom
Passatge del Canonge Cuffí
Carrer del Canonge Pibernat
Plaça del Canonge Rodó
Baixada de la Canonja
Carrer de Canovelles
Carrer de Cànoves
Carrer de Cantàbria
Carrer de la Cantera
Carrer de la Pedrera del Mussol
Carrer de les Pedreres
Passatge de Cantí
Carrer de la Canuda
Carrer de Canyameres
Carrer de Canyelles
Carrer del Canó
Carrer del Cap de Guaita
Carrer del Cap del Món
Passatge de Capdevila
Carrer de Capella
Carrer de Capellades
Carrer dels Capellans
Carrer de la Capella de Can Caralleu
Carrer del Capità Arenas
Avinguda d'Icària
Carrer de Bosch i Gimpera
Carrer de la Riera de Tena
Carrer dels Caponata
Carrer de Capçanes
Carrer de Capsec
Carrer del Capcir
Passatge dels Caputxins
Carrer de les Caputxes
Carrer d'en Carabassa
Torrent de la Carabassa
Carrer de la Caravel·la La Niña
Carrer de la Caravel·la La Pinta
Carrer de Caracas
Torrent de Can Caralleu
Carrer de la Carassa
Carrer de Carbonell
Passatge de Carbonell
Carrer de Carcassona
Carrer de Cardedeu
Passatge de Cardedeu
Carrer del Cardenal Casañas
Plaça del Cardenal Cicognani
Carrer del Cardenal Cisneros
Carrer del Cardenal Reig
Carrer del Cardenal Sentmenat
Carrer del Cardenal Tedeschini
Carrer del Cardenal Vives i Tutó
Carrer dels Carders
Carrer de Cardó
Carrer de Cardona
Plaça de Cardona
Carrer del Cardener
Carrer de Cariteo
Gran Via de Carles III
Plaça de Carlos Ibáñez
Plaça de Vallvidrera
Carrer de Carles Pirozzini
Passatge de Carlota de Mena
Carretera del Carmel
Rambla del Carmel
Torrent del Carmel
Carrer del Carme
Plaça del Carme
Carrer de Carme Karr
Carrer del Castell d'Olorda
Carrer de les Carolines
Carreró de les Carolines
Carrer de Carrencà
Carrer de Carrera
Carrer de Carreras
Passatge de Carreras
Carrer de Carreras i Candi
Carrer de les Carretes
Plaça del Carril
Carrer de Carroç
Passatge de Carsi
Carrer de Cartagena
Carrer de Cartago
Carrer de Cartellà
Carrer de la Cartoixa
Carrer de Ca l'Alegre
Passeig de Cantunis
Avinguda de Can Baró
Plaça de Can Baró
Camí de Can Borni
Baixada de Can Mateu
Carrer de Can Móra
Camí de Cal Notari
Carrer de Ca n'Oliva
Passatge de Ca n'Oliva
Passatge de Can Berdura
Carrer de Can Xirot
Passatge de la Casablanca
Carrer de Casafranca
Carrer de Casals
Carrer de Casals i Cuberó
Passatge de Casamitjana
Carrer de Casanova
Carrer d'Enric Casanovas
Passatge de Casanovas
Carrer de Casas i Amigó
Carrer de les Cases Boada
Passeig de Jean C. N. Forestier
Plaça de les Cascades
Carrer de les Casetes
Carrer de Casp
Baixada de Caçador
Carrer de Castanys
Carrer de Castanyer
Passeig dels Castanyers
Carrer de Castelladral
Carrer de Castellar
Carrer de Castellbell
Carrer de Castellbisbal
Carrer de Castelldefels
Carrer de Castellet
Carrer de Castellfollit
Carrer de Castellnou
Carrer de Castelló
Plaça de Castelló
Passeig de la Vimetera
Carrer de Castells
Carrer de Castellterçol
Carrer de Castellví
Parc Forestal de Can Castellví de Dalt
Carrer de Casteràs
Carrer de Castella
Plaça de Castella
Carrer de los Castillejos
Parc del Castell de l'Oreneta
Carrer del Castor
Plaça Catalana
Passatge de Catalunya
Plaça de Catalunya
Rambla de Catalunya
Carrer de Catània
Carrer de Catasús
Avinguda de la Catedral
Carrer de Cabanelles
Carrer de Cai Celi
Rambla del Caçador
Passatge de l'Ordi
Carrer de Celrà
Camí del Cementiri de Sant Gervasi
Plaça del Cementiri d'Horta
Camí del Cementiri de Sarrià
Carrer de Carmen Amaya
Passatge de Rere el Cementiri Vell
Carrer de la Cendra
Passatge de Centelles
Plaça de la Central
Carrer del Centre
Plaça del Centre
Carrer de la Cera
Carrer de la Ceràmica
Carrer del Clos de Sant Francesc
Carrer de Cerdà
Carrer de Sardenya
Carrer dels Cirerers
Carrer de Cerignola
Carrer de Cermeño
Carrer del Turó de la Trinitat
Plaça del Turó de la Trinitat
Carrer de Cervantes
Carrer de Cervelló
Carrer de Cervera
Carrer de Cesare Cantù
Carrer de Ceuta
Passatge de Ceuta
Carrer de Ciceró
Carrer del Cid
Carrer dels Cecs de la Boqueria
Carrer dels Cecs de Sant Cugat
Carrer de les Ciències
Carrer de Cienfuegos
Carrer de Cifuentes
Passeig del Cimal
Carrer del Cinca
Carrer del Cisell
Carrer del Torrent de les Roses
Passatge de les Cinc Torres
Carrer del Xiprer
Plaça de Cirici Pellicer
Carrer de Circumval·lació
Carretera Circumval·lació
Passeig de Circumval·lació
Carrer de la Cirera
Carrer del Cigne
Carrer de Cisquer
Carrer del Cistellet
Carrer del Cister
Carrer de la Ciutat
Carrer de la Ciutat d'Asunción
Carrer de la Ciutat de Balaguer
Carrer de la Ciutat d'Elx
Carrer de Ciudad Real
Passatge dels Ciutadans
Carrer de Ciutadella
Plaça de Ciutadella
Carrer de Siurana
Carrer del Civader
Carrer de Clarà
Carrer de Clarà Ayats
Carrer de Claramunt
Carrer de Claravall
Carrer de Clariana
Passeig de Claudi Güell
Carrer de Claudi Sabadell
Carrer del Clavell
Passatge de Clip
Carrer del Clot
Carrer de Clotés
Carrer del Cobalt
Carrer dels Còdols
Passatge de Coello
Carrer de Coïmbra
Carrer de Colòmbia
Passatge de Colomer
Carrer de Colomines
Passatge dels Coloms
Carrer de Colom
Passeig de Colom
Carrer de Colònia
Carrer de la Colònia del Tibidabo
Carrer de Coll
Camí Vell del Coll
Passatge de Coll
Avinguda del Coll del Portell
Passatge del Coll del Portell
Pas del Coll del Portell
Carrer de Coll i Vehí
Carrer de Collblanc
Carrer de Collserola
Carrer de Collegats
Carrer de Comalada
Carrer del Comandant Benítez
Carrer del Comandant Llança
Plaça de Comas
Passatge de Comas d'Argemí
Baixada de la Combinació
Carrer Comercial
Plaça Comercial
Carrer del Comerç
Plaça del Comerç
Placeta del Comerç
Carrer del Cometa
Passatge de la Companyia
Carrer de la Conca de Tremp
Passatge de la Concepció
Carrer de Concepción Arenal
Carrer del Concili de Trento
Carrer de la Concòrdia
Plaça de la Concòrdia
Carrer de Conxita Supervia
Carrer Comtal
Carrer Nou de la Rambla
Carrer del Comte Borrell
Carrer del Comte de Güell
Carrer del Comte de Noroña
Carrer del Comte de Salvatierra
Carrer del Comte de Santa Clara
Carrer del Comte de Sert
Plaça del Comte de Sert
Carrer del Comte Tallaferro
Carrer dels Comtes
Carrer dels Comtes de Bell-lloc
Carrer de la Comtessa de Pardo Bazán
Carrer de la Comtessa de Sobradiel
Carrer del Conflent
Carrer del Congost
Carrer del Congrés
Plaça del Congrés Eucarístic
Carrer de la Conreria
Carrer del Consell de Cent
Carrer dels Consellers
Carrer dels Consorts Sans Bernet
Passatge de la Constància
Carrer de Constantí
Carrer de Constantinoble
Carrer de Constança
Carrer de la Constitució
Carrer del Consolat de Mar
Carrer del Conveni
Carrer de Copèrnic
Carrer d'en Copons
Passatge de Conradí
Carrer de les Alberes
Carrer de Còrsega
Passatge de Còrsega
Carrer dels Corders
Carrer de Còrdova
Carrer de Corint
Carrer de Cornet i Mas
Carrer de Cornudella
Carrer de Coroleu
Carrer del Coronel Sanfeliu
Carrer del Corral
Carrer del Correu Vell
Carrer de Corretger
Carrer de Corçà
Carrer Curt
Carrer dels Cortada
Carrer d'en Cortines
Carrer de Cortit
Carrer de les Corts
Carrer de la Corunya
Carrer de Pere Costa
Passatge de Costa
Carrer de la Costa Brava
Carrer de Costabona
Carrer de la Costa Daurada
Carrer de Costa Pacheco
Carrer de Costa Rica
Carrer dels Cotoners
Carrer de la Mare de Déu de Núria
Carrer de Craywinckel
Passatge del Crèdit
Carrer de Crehuet
Carrer Cremat Gran i Xic
Carrer de Cretes
Carrer de Crillon
Carrer del Crisantem
Pla de la Seu
Carrer de Cristóbal de Moura
Carrer de Cros
Carrer de Croia
Carrer del Pedró de la Creu
Carrer de la Creu dels Molers
Carrer de la Creu Coberta
Carrer de Simancas
Carrer dels Quatre Camins
Carrer de Cuba
Carrer de Cubelles
Carrer de Cucurulla
Plaça de Cucurulla
Carrer de Conca
Carrer de la Costa
Passatge de la Costa del Putxet
Costa de les Perdius
Costa del Bruc
Carrer dels Pellaires
Carrer de Cuyàs
Carrer de Cusco
Carrer de Las Chafarinas
Carrer de Chapí
Passatge de Chapí
Avinguda de Xile
Passatge de Xile
Carrer de Xipre
Carrer de Chopin
Carrer D Zona Franca
Carrer de la Dagueria
Carrer de la Dàlia
Carrer de Dalmàcia
Carrer de Dalmau de Creixell
Carrer de Vallès i Ribot
Carrer de Dalmases
Carrer de Dalmau
Carrer de les Dames
Carrer de Damià Forment
Plaça de Dante
Carrer de Dante Alighieri
Carrer del Danubi
Carrer de la Dansa
Carrer de Daoíz i Velarde
Carrer de Darnius
Carrer de Das
Carrer del Degà Bahí
Carrer de Josep M. Sert
Carrer de Degollada
Carrer de Demestre
Carrer de Demòstenes
Carrer de Dénia
Carrer dels Esports
Passatge del Dipòsit
Carrer del Descans
Carrer de Descartes
Carrer de Desfar
Carrer del Desert
Carrer dels Paletes
Carrer de Rere Palau
Carrer de Rere Sant Just
Carrer de Deu i Mata
Davallada de Gallecs
Carrer de Deià
Plaça del Diamant
Carrer de Diana
Carrer d'Apel·les Mestres
Carrer de les Diligències
Carrer del Diluvi
Carrer d'Arístides Maillol
Carrer de la Diputació
Passatge de l'Anemone
Carrer de Carrasco i Formiguera
Avinguda del Tibidabo
Carrer del Doctor Balari i Jovany
Carrer del Doctor Bové
Carrer del Doctor Cadevall
Carrer del Doctor Carulla
Carrer del Doctor Coll
Carrer del Doctor Dou
Carrer del Doctor Farreras i Valentí
Carrer del Doctor Ferran
Jardins del Doctor Duran i Reynals
Carrer del Doctor Fleming
Carrer de la Perera
Jardins del Doctor Fleming
Carrer del Doctor Francesc Darder
Carrer del Doctor Giné i Partagàs
Avinguda del Doctor Marañón
Carrer del Doctor Ibáñez
Plaça del Doctor Ignasi Barraquer
Carrer del Doctor Joaquín Albarrán
Carrer del Doctor Joaquim Pou
Jardins de Josep Trueta
Carrer del Doctor Letamendi
Plaça del Doctor Letamendi
Carrer del Lilà
Plaça del Doctor Modrego
Carrer del Doctor Nubiola i Espinós
Carrer del Doctor Pi i Molist
Passatge del Doctor Pi i Molist
Carrer del Doctor Ribas i Perdigó
Carrer del Doctor Rizal
Carrer del Doctor Roux
Carrer del Doctor Salvador Cardenal
Carrer del Doctor Santponç
Plaça del Doctor Serrat
Passatge del Doctor Torent
Passatge del Doctor Torres
Carrer del Doctor Valls
Carrer del Doctor Zamenhof
Carrer de Dolors Monserdà
Carrer de Domènech
Carrer de Domènech i Montaner
Passatge de Domingo
Carrer de Domínguez i Miralles
Carrer dels Dominics
Passatge del Magraner
Passatge del Dormitori de Sant Francesc
Jardins de Dorotea Chopitea
Carrer del Dos de Maig
Passatge del Dos de Maig
Carrer de Dosrius
Carrer del Dragó
Carrer de Dublín
Plaça del Dubte
Carrer del Duero
Carrer de Dulcet
Plaça de Sarrià
Plaça del Duc de Medinaceli
Carrer del Duc de Rivas
Carrer del Duc
Carrer de Francesc Pujols
Carrer de la Duquessa d'Orleans
Carrer de Duran i Bas
Carrer de Duran i Borrell
Carrer E Zona Franca
Carrer de l'Ebre
Carrer de l'Equador
Carrer d'Edison
Carrer d'Eduardo Conde
Carrer d'Eduard Toda
Plaça d'Eduard Torroja
Carrer d'Eduard Tubau
Carrer de les Egipcíaques
Plaça d'Eguilaz
Carrer de la Menta
Carrer d'Eiximenis
Carrer d'Elkano
Carrer d'Elisenda de Pinós
Jardins dels Horts de Sant Pau
Avinguda d'Elies Pagès
Carrer d'Elisa
Carrer d'Elisabets
Passatge d'Elisabets
Carrer de l'Elisi
Carrer de l'Emancipació
Carrer d'Emèrita Augusta
Carrer d'Emili Roca
Plaça d'Emili Vendrell
Plaça d'Emili Vilanova
Carrer dels Enamorats
Carrer de l'Encarnació
Passatge de l'Encarnació
Passadís de l'Encarnació
Pas de l'Encarnació
Carrer de l'Alzina
Avinguda de l'Alzinar
Carrer de l'Energia
Carrer de Ramon Turró
Carrer d'Enric Morera
Carrer d'Enric Bargés
Carrer de la Savina
Carrer d'Enric Giménez
Carrer d'Enric Granados
Passeig d'Enric Sanchis
Carrer de l'Ensenyança
Carrer de Carles Collet
Carrer d'Entença
Carrer de l'Epir
Carrer d'Erasme de Janer
Carrer d'Ercilla
Passatge d'Ercilla
Plaça d'Herenni
Carrer d'Ermengarda
Carrer del Trèmol
Carrer de l'Escala
Carrer de les Escales de Can Caralleu
Escales de la Gatosa
Escales de Bellavista
Carrer de Salvador Alarma
Carrer d'Escipió
Carrer d'Escòcia
Passatge d'Escòcia
Passeig de l'Escullera
Avinguda d'Escolapi Càncer
Carrer de l'Escorial
Carrer d'Escornalbou
Carrer d'Escudellers
Passatge d'Escudellers
Carrer d'Escudellers Blancs
Carrer d'Escuder
Riera d'Escuder
Carrer del Codonyer
Carrer de les Escoles
Passatge de les Escoles
Carrer de les Escoles Pies
Carrer de l'Escultor Canet
Carrer d'Enric Clarasó
Carrer de l'Escultor Llimona
Carrer de l'Escultor Ordóñez
Plaça de l'Escultor Ramir Rocamora
Carrer dels Escultors Claperós
Carrer de l'Escultura
Plaça d'Isop
Carrer d'Espaseria
Carrer d'Espalter
Plaça d'Espanya
Carrer de l'Espanya Industrial
Carrer d'Esparreguera
Carrer de l'Esparteria
Carrer de l'Esparver
Avinguda d'Espasa
Carrer de l'Esperança
Passatge de l'Esperança
